CID	Pack_Number	Part_Number	AppricableCID	Keyword	CVN	Country Spec	Vehicle	Year	Engine	Aspiration	Transmission	Specification
EZFB2OB3	30919AA084	30919AA080	EZFB2OA1	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2010	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA081	EZFB2OB0	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2010	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA082	EZFB2OB1	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2010	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA082	EZFB2OF1	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2010	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA083	EZFB2OB2	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2010	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA080	EZFB2OA1	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2011	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA081	EZFB2OB0	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2011	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA082	EZFB2OB1	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2011	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA082	EZFB2OF1	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2011	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA083	EZFB2OB2	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2011	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA080	EZFB2OA1	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2012	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA081	EZFB2OB0	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2012	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA082	EZFB2OB1	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2012	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA082	EZFB2OF1	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2012	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA083	EZFB2OB2	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2012	3.6L	non-Turbo	AT	FED  CAL
EZFB2OB3	30919AA084	30919AA080	EZFB2OA1	A7EE5E45	BEDD2AC3	N.AMERICA	Outback	2013	3.6L	non-Turbo	AT	FED  CAL
